Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
midnightblue	5992204	Activation of Matrix Metalloproteinases	1/6	49/7109	0.0406639656788775	0.0805224470128559	0.032962405209941	Mmp14	1
midnightblue	5991734	Signaling by Retinoic Acid	1/6	54/7109	0.0447346927849199	0.0805224470128559	0.032962405209941	Crabp1	1
midnightblue	5992175	Collagen degradation	1/6	60/7109	0.0496005549140385	0.0811645444047902	0.0332252520955282	Mmp14	1
grey60	5991122	Global Genomic NER (GG-NER)	2/7	34/7109	0.000459337368773278	0.0335316279204493	0.0149889036126017	Ddb2/Pold1	2
grey60	5991123	Nucleotide Excision Repair	2/7	53/7109	0.0011182519180691	0.0408161950095222	0.018245162873759	Ddb2/Pold1	2
grey60	5991124	DNA Repair	2/7	138/7109	0.00737000092436085	0.0570453767358865	0.0254997358156089	Ddb2/Pold1	2
grey60	5991611	Processive synthesis on the C-strand of the telomere	1/7	12/7109	0.0117612786997485	0.0570453767358865	0.0254997358156089	Pold1	1
grey60	5991683	p75NTR recruits signalling complexes	1/7	13/7109	0.0127360104242946	0.0570453767358865	0.0254997358156089	Myd88	1
grey60	5992294	Cytosolic iron-sulfur cluster assembly	1/7	13/7109	0.0127360104242946	0.0570453767358865	0.0254997358156089	Pold1	1
grey60	5990996	Polymerase switching	1/7	14/7109	0.0137099179675624	0.0570453767358865	0.0254997358156089	Pold1	1
grey60	5990997	Leading Strand Synthesis	1/7	14/7109	0.0137099179675624	0.0570453767358865	0.0254997358156089	Pold1	1
grey60	5991001	Removal of the Flap Intermediate	1/7	14/7109	0.0137099179675624	0.0570453767358865	0.0254997358156089	Pold1	1
grey60	5991612	Polymerase switching on the C-strand of the telomere	1/7	14/7109	0.0137099179675624	0.0570453767358865	0.0254997358156089	Pold1	1
grey60	5991344	Repair synthesis of patch ~27-30 bases long  by DNA polymerase	1/7	15/7109	0.0146830019103712	0.0570453767358865	0.0254997358156089	Pold1	1
