Area	Mean	Min	Max	IntDen	RawIntDen	adjusted.mean	mouse	slide	section	striatum	blank
13608	109.199	30	148	1485981	1485981	96.795	xim.636	2	1	1	no
13608	102.737	39	139	1398048	1398048	90.333	xim.636	2	1	1	no
13608	109.873	33	150	1495153	1495153	97.469	xim.636	2	1	1	no
19044	12.688	4	46	241636	241636	0	xim.636	2	1	2	yes
19044	113.2	19	154	2155785	2155785	100.512	xim.636	2	1	2	no
19044	112.829	2	153	2148711	2148711	100.141	xim.636	2	1	2	no
19044	110.111	33	157	2096955	2096955	97.423	xim.636	2	1	2	no
19044	113.533	7	155	2162129	2162129	100.845	xim.636	2	1	2	no
19044	99.402	35	146	1893009	1893009	86.714	xim.636	2	1	2	no
17280	11.407	2	35	197107	197107	0	xim.636	2	3	1	yes
17280	102.568	21	139	1772382	1772382	91.161	xim.636	2	3	1	no
17280	118.07	25	156	2040245	2040245	106.663	xim.636	2	3	1	no
17280	121.533	22	154	2100097	2100097	110.126	xim.636	2	3	1	no
17280	117.553	4	155	2031312	2031312	106.146	xim.636	2	3	1	no
17280	118.543	24	161	2048430	2048430	107.136	xim.636	2	3	1	no
25272	10.409	2	29	263065	263065	0	xim.636	2	3	2	yes
25272	98.932	3	144	2500217	2500217	88.523	xim.636	2	3	2	no
25272	109.104	5	151	2757284	2757284	98.695	xim.636	2	3	2	no
25272	122.319	6	163	3091249	3091249	111.91	xim.636	2	3	2	no
25272	119.069	5	164	3009116	3009116	108.66	xim.636	2	3	2	no
25272	111.995	29	152	2830329	2830329	101.586	xim.636	2	3	2	no
23184	12.928	5	28	299720	299720	0	xim.636	2	4	1	yes
23184	87.612	1	150	2031205	2031205	74.684	xim.636	2	4	1	no
23184	96.576	0	150	2239012	2239012	83.648	xim.636	2	4	1	no
23184	114.286	2	163	2649603	2649603	101.358	xim.636	2	4	1	no
23184	120.769	18	158	2799907	2799907	107.841	xim.636	2	4	1	no
23184	114.353	0	159	2651162	2651162	101.425	xim.636	2	4	1	no
30132	12.578	4	33	379000	379000	0	xim.636	2	4	2	yes
